season,svspp,com_name,sci_name,six_name,sci_lc,stock_area,eff
spring,103,summer flounder,PARALICHTHYS DENTATUS,sumflo,Paralichthys dentatus,nes,0.1
spring,103,summer flounder,PARALICHTHYS DENTATUS,sumflo,Paralichthys dentatus,unit,0.1
fall,103,summer flounder,PARALICHTHYS DENTATUS,sumflo,Paralichthys dentatus,nes,0.1
fall,103,summer flounder,PARALICHTHYS DENTATUS,sumflo,Paralichthys dentatus,unit,0.1
spring,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,nes,0.1
fall,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,nes,0.1
spring,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,gom,0.1
fall,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,gom,0.1
spring,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,gbk,0.1
fall,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,gbk,0.1
spring,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,sne,0.1
fall,301,american lobster,HOMARUS AMERICANUS,amlobs,Homarus americanus,sne,0.1
spring,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,nes,0.1
fall,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,nes,0.1
spring,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,gom,0.1
fall,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,gom,0.1
spring,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,gbk,0.1
fall,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,gbk,0.1
spring,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,sne,0.1
fall,312,jonah crab,CANCER BOREALIS,joncra,Cancer borealis,sne,0.1
