"","Year","spring","fall"
"1",1992,47208.99127,35019.03199
"2",1993,49855.3571,31309.56101
"3",1994,49859.46847,41399.31581
"4",1995,51445.45184,44839.10546
"5",1996,42194.02766,39643.29733
"6",1997,52758.72855,44602.50481
"7",1998,49820.48458,41162.6291
"8",1999,55093.27994,50843.10089
"9",2000,66224.13713,51269.34634
"10",2001,67249.83962,49782.54838
"11",2002,78547.89855,53252.6256
"12",2003,61898.22217,48497.99997
"13",2004,61400.01821,50513.34588
"14",2005,58508.34565,45901.77911
"15",2006,68682.73175,53847.19222
"16",2007,61006.95533,52729.7727
"17",2008,71147.42633,57010.28669
"18",2009,65961.2386,58591.23361
"19",2010,72667.22745,57557.33038
"20",2011,75479.84052,58775.03437
"21",2012,96370.35644,59584.29185
"22",2013,80257.49956,58092.4112
"23",2014,76708.4952,64024.80266
"24",2015,74547.16614,62787.7623
"25",2016,83640.80625,67594.83782
"26",2017,63745.29833,60453.32852
