Year,spr_sa,fall_sa,spr_eco,fal_eco
1976,2384.145872,2255.92713,2384.145872,3510.16925
1977,2784.923998,2270.425241,2784.923998,3700.696003
1978,2587.052376,2181.677616,2587.052376,3523.858968
1979,2289.737394,2272.814778,2289.737394,3707.604896
1980,2093.388936,2465.228644,2093.388936,3807.409996
1981,2490.027952,2838.21003,2490.027952,4545.333205
1982,2588.20446,2935.263363,2588.20446,4642.386538
1983,2090.086043,3302.688814,2090.086043,4921.27367
1984,2482.770599,2831.807016,2482.770599,4450.391873
1985,3967.616676,2647.631313,3967.616676,4265.916626
1986,3178.101179,2823.294673,3178.101179,4441.87953
1987,2874.650548,2720.818893,2874.650548,4427.493158
1988,3074.410336,2537.544978,3074.410336,4244.219244
1989,3368.929902,2533.567875,3368.929902,5126.817536
1990,3951.388012,2449.207218,3951.388012,4329.185862
1991,3464.166163,2351.296827,3464.166163,3788.883965
1992,3066.776862,2158.396427,3066.776862,3684.372518
1993,2771.910507,2155.167541,2771.910507,3588.960519
1994,2878.102546,2080.180123,2878.102546,3511.199337
1995,2874.637813,2083.275371,2874.637813,3602.832904
1996,2582.960433,1970.446429,2582.960433,3666.332147
1997,3074.041326,1891.27011,3074.041326,3503.310298
1998,2776.429341,2160.562823,2871.127876,3768.359132
1999,2278.737617,1895.394339,2278.737617,3415.549331
2000,2377.032581,1978.535757,2471.731116,3506.257439
2001,2476.981548,2449.715048,2476.981548,4245.975628
2002,3024.702967,2550.03645,3303.653832,4169.369757
2003,2182.763501,2546.046618,2182.763501,4253.768879
2004,2377.771563,2826.590995,2377.771563,4622.252489
2005,2180.44843,2541.686494,2180.44843,4249.109212
2006,2477.500486,2639.406023,2477.500486,4435.666602
2007,2875.399094,3019.624317,2875.399094,4903.824129
2008,3069.066741,2839.778171,3069.066741,4455.041031
2009,2278.61888,2748.743024,2278.61888,4363.556976
2010,2967.926961,2745.395112,2967.926961,4536.53725
2011,2671.240661,3025.991235,2671.240661,4641.802327
2012,6862.65782,2655.392566,6956.249835,4271.053481
2013,2974.3302,2355.924447,2974.3302,4148.21309
2014,2580.174649,3032.733717,2580.174649,4823.875855
2015,2483.284352,2648.388171,2483.284352,4620.677393
2016,2972.512027,2942.634036,2972.512027,4833.782501
2017,2968.556412,2829.651186,3063.254947,4713.402089
2018,2878.234624,3108.934816,3077.504287,4992.685719
