"","Time","Spring"
"1",1976,0.347265696087352
"2",1979,0.312688808007278
"3",1982,0.321351228389445
"4",1985,0.3496542311192
"5",1986,0.351287534121929
"6",1987,0.340582347588717
"7",1988,0.346533212010918
"8",1989,0.352256596906279
"9",1990,0.343689717925387
"10",1993,0.32862602365787
"11",1994,0.321774340309372
"12",1995,0.329067333939945
"13",1997,0.3253457688808
"14",1998,0.322479526842584
"15",2001,0.328252957233849
"16",2006,0.358366696997271
"17",2008,0.355859872611466
"18",2012,0.363480436760691
"19",2013,0.357684258416742
"20",2015,0.360777979981802
"21",2016,0.361869881710646
"22",2018,0.376956323930847
